"Date","End month level of yield from British Government Stock, 20 year Nominal Par Yield              [a]             IUMLNPY"
"31 Aug 12","2.6124"
"31 Jul 12","2.5848"
"30 Jun 12","2.7671"
"31 May 12","2.6577"
"30 Apr 12","3.1524"
"31 Mar 12","3.182"
"29 Feb 12","3.0603"
"31 Jan 12","2.8494"
"31 Dec 11","2.8633"
"30 Nov 11","3.0057"
"31 Oct 11","3.2378"
"30 Sep 11","3.3141"
"31 Aug 11","3.7409"
"31 Jul 11","3.9374"
"30 Jun 11","4.2434"
"31 May 11","4.095"
"30 Apr 11","4.1552"
"31 Mar 11","4.3193"
"28 Feb 11","4.3257"
"31 Jan 11","4.3548"
"31 Dec 10","4.1056"
"30 Nov 10","4.1113"
"31 Oct 10","4.0198"
"30 Sep 10","3.7788"
"31 Aug 10","3.6949"
"31 Jul 10","4.206"
"30 Jun 10","4.124"
"31 May 10","4.2552"
"30 Apr 10","4.446"
"31 Mar 10","4.4855"
"28 Feb 10","4.5701"
"31 Jan 10","4.3774"
"31 Dec 09","4.4547"
"30 Nov 09","4.0832"
"31 Oct 09","4.1342"
"30 Sep 09","4.0226"
"31 Aug 09","3.9784"
"31 Jul 09","4.5142"
"30 Jun 09","4.3495"
"31 May 09","4.4541"
"30 Apr 09","4.324"
"31 Mar 09","4.0214"
"28 Feb 09","4.4505"
"31 Jan 09","4.4998"
"31 Dec 08","3.9103"
"30 Nov 08","4.4399"
"31 Oct 08","4.8705"
"30 Sep 08","4.6862"
"31 Aug 08","4.6329"
"31 Jul 08","4.8356"
"30 Jun 08","5.0448"
"31 May 08","4.9448"
"30 Apr 08","4.7675"
"31 Mar 08","4.5955"
"29 Feb 08","4.5445"
"31 Jan 08","4.4787"
"31 Dec 07","4.4635"
"30 Nov 07","4.5982"
"31 Oct 07","4.7289"
"30 Sep 07","4.7872"
"31 Aug 07","4.7205"
"31 Jul 07","4.8588"
"30 Jun 07","5.1069"
"31 May 07","4.8967"
"30 Apr 07","4.7288"
"31 Mar 07","4.6434"
"28 Feb 07","4.472"
"31 Jan 07","4.6065"
"31 Dec 06","4.4144"
"30 Nov 06","4.2269"
"31 Oct 06","4.2113"
"30 Sep 06","4.2862"
"31 Aug 06","4.2898"
"31 Jul 06","4.4182"
"30 Jun 06","4.534"
"31 May 06","4.4141"
"30 Apr 06","4.4446"
"31 Mar 06","4.2376"
"28 Feb 06","4.0052"
"31 Jan 06","3.9593"
"31 Dec 05","4.0276"
"30 Nov 05","4.1515"
"31 Oct 05","4.2968"
"30 Sep 05","4.2809"
"31 Aug 05","4.2019"
"31 Jul 05","4.3537"
"30 Jun 05","4.2336"
"31 May 05","4.3651"
"30 Apr 05","4.4881"
"31 Mar 05","4.6341"
"28 Feb 05","4.614"
"31 Jan 05","4.5475"
"31 Dec 04","4.4784"
"30 Nov 04","4.5213"
"31 Oct 04","4.6532"
"30 Sep 04","4.7251"
"31 Aug 04","4.769"
"31 Jul 04","4.9242"
"30 Jun 04","4.9576"
"31 May 04","5.0122"
"30 Apr 04","4.9209"
"31 Mar 04","4.712"
"29 Feb 04","4.7714"
"31 Jan 04","4.8259"
"31 Dec 03","4.7661"
"30 Nov 03","4.9826"
"31 Oct 03","4.9503"
"30 Sep 03","4.6868"
"31 Aug 03","4.7263"
"31 Jul 03","4.798"
"30 Jun 03","4.5371"
"31 May 03","4.3868"
"30 Apr 03","4.612"
"31 Mar 03","4.5558"
"28 Feb 03","4.4282"
"31 Jan 03","4.3825"
"31 Dec 02","4.4772"
"30 Nov 02","4.705"
"31 Oct 02","4.5925"
"30 Sep 02","4.4193"
"31 Aug 02","4.5634"
"31 Jul 02","4.8723"
"30 Jun 02","4.916"
"31 May 02","5.2246"
"30 Apr 02","5.1213"
"31 Mar 02","5.1959"
"28 Feb 02","4.8855"
"31 Jan 02","4.7699"